,AAPL,BAC,C,DELL,GOOGL,MS,MSFT
2009-01-02,,,,,,,
2009-01-05,0.04234527687296419,-0.024390243902439046,-0.00831454340473492,-0.013461538461538525,0.020955105086432058,0.03652392947103267,0.00918484500574035
2009-01-06,-0.017187500000000022,0.021323529411764852,0.053573966178769306,0.041910331384015675,0.018332419757597807,0.11178614823815303,0.011376564277588264
2009-01-07,-0.021462639109697923,-0.03959683225341981,-0.041543026706231445,0.009354536950420878,-0.03606459330143541,-0.07595628415300548,-0.06017997750281212
2009-01-08,0.018683996750609166,-0.012743628185907019,0.0014072614691809093,0.010194624652456019,0.009865359558230535,0.04021289178001175,0.03171753441053249
2009-01-09,-0.023125996810207217,-0.0402429764616552,-0.0571950534007869,-0.012844036697247763,-0.031150159744408934,0.012507106310403637,-0.030162412993039456
2009-01-12,-0.0212244897959184,-0.12025316455696211,-0.17036816217021922,-0.0427509293680296,-0.007546451899296036,-0.014037057832678279,-0.0023923444976076125
2009-01-13,-0.010008340283569672,-0.06834532374100721,0.05353934602946464,0.010679611650485477,0.005239616613418541,0.003416856492027387,0.017985611510791477
2009-01-14,-0.02780117944397642,-0.042471042471042386,-0.23226466575716231,-0.04226705091258398,-0.04246122552758713,-0.08853575482406373,-0.037102473498233146
2009-01-15,-0.022530329289428108,-0.18447580645161288,-0.1543758329631275,0.02306920762286846,-0.006638343069569785,-0.05417185554171855,0.00795107033639142
2009-01-16,-0.012411347517730431,-0.13720642768850422,-0.08615707906488046,-0.026470588235294024,0.002272119754076485,-0.04081632653061218,0.024271844660194164
2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-20,-0.050269299820466795,-0.28939828080229235,-0.2000574877838459,-0.040281973816717054,-0.05640752100280022,-0.15991763898421418,-0.0622037914691943
2009-01-21,0.05954631379962194,0.310483870967742,0.31081566654689174,0.035676810073452137,0.07186263425664197,0.2867647058823528,0.04864181933038547
2009-01-22,0.06601248884924171,-0.1461538461538462,-0.15268640350877183,-0.022289766970617908,0.011272990968422603,0.0431746031746032,-0.11686746987951813
2009-01-23,0.0,0.09369369369369385,0.11582012293756061,0.01658031088082912,0.05938722294654486,0.06390748630553866,0.004774897680764001
2009-01-26,0.015062761506276168,-0.03789126853377267,-0.040301536677297745,0.016309887869520923,-0.002522921666358924,0.020022883295194305,0.02511880515953835
2009-01-27,0.01154163231657046,0.08219178082191791,0.06586102719033238,-0.02306920762286868,0.023504009870450426,0.037016264722377956,0.001986754966887494
2009-01-28,0.03830480847595763,0.13765822784810133,0.18594104308390036,0.08008213552361387,0.0518353324091374,0.1784748512709573,0.02115003304692653
2009-01-29,-0.012558869701726816,-0.08344923504867874,-0.07146271510516256,-0.08460076045627363,-0.015357286115408764,-0.07067462138595682,-0.02459546925566336
2009-01-30,-0.031001589825119247,-0.028831562974203306,-0.08957528957528971,-0.04569055036344771,-0.013967293254961377,-0.05333333333333323,-0.02786994027869938
2009-02-02,0.015586546349466879,-0.08750000000000002,0.027989821882951738,-0.019586507072905324,0.006079206752050981,0.028169014084507005,0.04232081911262786
2009-02-03,0.016155088852988664,-0.11643835616438347,-0.051980198019802026,0.0488346281908989,-0.00035198873636044237,0.006595636732622978,0.037982973149967236
2009-02-04,0.006359300476947549,-0.11434108527131781,0.008703220191470962,0.002116402116402183,0.007453051643192321,0.050907258064516236,0.006940063091482651
2009-02-05,0.03080568720379162,0.03063457330415753,0.011504170261719793,-0.036958817317846004,0.03128094600104858,0.05371702637889686,0.021929824561403466
2009-02-06,0.03371647509578546,0.26539278131634814,0.10747796417401201,0.00328947368421062,0.049649796656123124,-0.013654984069185083,0.032495401594114126
2009-02-09,0.028169014084507005,0.12416107382550345,0.010269576379974277,0.01967213114754096,0.020125921541193525,0.03230272265805256,-0.01128266033254166
2009-02-10,-0.046142754145637954,-0.19253731343283587,-0.1519695044472682,-0.05037513397642024,-0.05348947618294031,-0.11935628073312476,-0.033033033033032844
2009-02-11,-0.009826152683295564,0.09057301293900188,0.10158825292178597,-0.0146726862302482,-0.0012818369280500619,0.10152284263959399,0.022360248447204967
2009-02-12,0.02519083969465652,-0.03220338983050852,-0.02176278563656142,0.016036655211912887,0.014006696428571441,0.0036866359447005337,0.002430133657351119
2009-02-13,-0.0014892032762471308,-0.05078809106830118,-0.03309232480533919,-0.005636978579481311,-0.014803808265918206,-0.0027548209366392573,-0.009090909090909038
2009-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-17,-0.04623415361670402,-0.11992619926199266,-0.12309462180040276,-0.026077097505669,-0.04200647972293603,-0.13812154696132595,-0.04587155963302758
2009-02-18,-0.0015637216575449253,-0.06708595387840655,-0.04919645785503446,-0.025611175785797524,0.03049562682215745,0.021367521367521514,0.0019230769230769162
2009-02-19,-0.039937353171495715,-0.14157303370786523,-0.13728872024836136,-0.06212664277180402,-0.029649748203474102,-0.012552301255230214,-0.011516314779270731
2009-02-20,0.006525285481239873,-0.03403141361256545,-0.22311075569772099,0.03694267515923588,0.011137675666219593,-0.024894067796610075,0.005177993527508029
2009-02-23,-0.04700162074554293,0.02981029810298108,0.0972722593926918,-0.05036855036855037,-0.047289504036909014,-0.03150461705594798,-0.04443013522215067
2009-02-24,0.03826530612244916,0.21052631578947367,0.21482176360225136,0.03363518758085382,0.04661016949152552,0.17274256870443083,-0.0020215633423180668
2009-02-25,0.009828009828009687,0.09130434782608687,-0.030501930501930508,0.01251564455569465,-0.01104684788895316,-0.01434720229555242,-0.012153950033760963
2009-02-26,-0.02108678021086774,0.029880478087649376,-0.02389486260453999,-0.018541409147095123,-0.013041698344932517,-0.019408054342552106,-0.032125768967874224
2009-02-27,0.0008285004142500885,-0.25725338491295935,-0.390452876376989,0.03904282115869018,0.0023702299123016246,-0.0841167738743196,-0.016242937853107375
2009-03-02,-0.01490066225165565,-0.08072916666666663,-0.20013386880856765,-0.012121212121212088,-0.03204067155355872,-0.08103727714748787,-0.022254127781766053
2009-03-03,0.004201680672268893,0.0056657223796034994,0.01673640167364021,0.08588957055214719,-0.005130084279956093,0.012345679012345512,0.005873715124816492
2009-03-04,0.03179916317991638,-0.014084507042253502,-0.0732510288065844,-0.029378531073446346,-0.020135052179251045,0.06736353077816504,0.014598540145985384
2009-03-05,-0.02514193025141931,-0.11714285714285722,-0.0976909413854351,-0.0547147846332946,-0.04166144593409349,-0.07344940152339485,-0.052517985611510776
2009-03-06,-0.03993344425956746,-0.009708737864077555,0.009842519685039353,-0.0024630541871920597,0.009609727397528856,-0.04403992953611269,0.0007593014426727773
2009-03-09,-0.025996533795493826,0.196078431372549,0.01949317738791434,-0.03950617283950608,-0.05730380730380724,-0.04115479115479126,-0.00834597875569043
2009-03-10,0.06672597864768681,0.27595628415300544,0.38145315487571674,0.08868894601542432,0.05941342125145965,0.26457399103139,0.0872226472838562
2009-03-11,0.04587155963302747,0.02997858672376874,0.06159169550173016,0.02597402597402576,0.03157417012448138,0.08054711246200608,0.03870513722730462
2009-03-12,0.03907496012759171,0.18711018711018723,0.0847457627118644,0.05063291139240511,0.017723587455219514,0.07407407407407418,-0.0060975609756097615
2009-03-13,-0.0038372985418264616,-0.015761821366024442,0.06550480769230771,-0.00766703176341732,0.0027172234916321703,0.051505892623308513,-0.02113156100886171
2009-03-16,-0.005392912172573205,0.07295373665480431,0.3090806542583193,-0.04966887417218557,-0.014534704686826494,-0.09381486093814873,-0.0236768802228412
2009-03-17,0.04415182029434539,0.014925373134328401,0.07755277897458002,0.04994192799070851,0.048934441597400236,0.03344021988089785,0.039942938659058624
2009-03-18,0.0185459940652819,0.22222222222222232,0.22670931627349056,0.02986725663716827,-0.006673021925643452,0.015957446808510856,0.003429355281207247
2009-03-19,0.0014566642388929019,-0.09625668449197866,-0.15580182529335074,0.0429645542427497,-0.009476967370441569,-0.1304537521815009,0.01025290498974707
